景点名,地点,距离,坐标,评论数,评论分,热评分,封面,是否免费,价格,原价,类别信息,标签,是否5A
广济桥,韩文公祠/韩山师范学院,距市中心3.6km,"[23.668515, 116.664306]",1138,4.5,6.7,https://dimg04.c-ctrip.com/images/0103c12000f6rcogm9470.jpg,FALSE,20,0,广东夜游必打卡榜 No.9,"['地标观景', '夜游观景','历史建筑','演出', '现场演出']",4A
潮州古城,牌坊街/潮州古城/广济桥,距市中心2.7km,"[23.671054, 116.654521]",588,4.6,6.6,https://dimg04.c-ctrip.com/images/0106g1200086whnyf0883.jpg,TRUE,0,0,广东夜游必打卡榜 No.11,"['遛娃宝藏地', '古镇古村']",
青岚怪臼谷国家地质公园,饶平,距市中心23.4km,"[23.735307, 116.844318]",613,4.4,6,https://dimg04.c-ctrip.com/images/1lo0k12000d2y61872E9D.jpg,FALSE,55,80,潮州必打卡景点榜 No.3,"['遛娃宝藏地', '自然山水']",
韩文公祠,,距市中心3.8km,"[23.669655, 116.665361]",250,4.6,5.7,https://dimg04.c-ctrip.com/images/0104712000f6t3h8f7817.jpg,TRUE,0,0,潮州必打卡景点榜 No.4,['历史建筑'],4A
开元寺,牌坊街/潮州古城/广济桥,距市中心2.8km,"[23.669711, 116.655468]",385,4.6,5.6,https://dimg04.c-ctrip.com/images/100310000000pd7wxEBE5.jpg,TRUE,0,0,,['历史建筑'],
牌坊街,牌坊街/潮州古城/广济桥,距市中心2.8km,"[23.6681, 116.655872]",476,4.5,5.4,https://dimg04.c-ctrip.com/images/100q1f000001grkel4BC3.jpg,TRUE,0,0,,"['城市漫步', '夜游观景','特产']",
龙湖古寨,东山湖/龙湖古寨,距市中心12.1km,"[23.558192, 116.658772]",98,4.1,5.3,https://dimg04.c-ctrip.com/images/100s0z000000nollt70BF.jpg,TRUE,0,0,潮州必打卡景点榜 No.5,['古镇古村'],
广济楼,牌坊街/潮州古城/广济桥,距市中心3.1km,"[23.669318, 116.658654]",75,4.4,5,https://dimg04.c-ctrip.com/images/0106g1200086whnyf0883.jpg,FALSE,0,0,,"['历史建筑', '夜游观景']",
潮州东山湖温泉度假村,东山湖/龙湖古寨,距市中心17.2km,"[23.511981, 116.593051]",121,4.1,5,https://dimg04.c-ctrip.com/images/0101n120008dfto2b0A60.jpg,FALSE,106.8,128,广东温泉景点榜 No.12,"['度假村', '遛娃宝藏地']",4A
开元寺泰佛殿,韩文公祠/韩山师范学院,距市中心4.2km,"[23.660134, 116.66977]",32,4.1,4.7,https://dimg04.c-ctrip.com/images/1A0m1a00000193jjs9D7B.jpg,TRUE,0,0,,['历史建筑'],
甲第巷,牌坊街/潮州古城/广济桥,距市中心2.6km,"[23.666436, 116.654808]",80,4.3,4.5,https://dimg04.c-ctrip.com/images/0101i120009dddqxhC224.jpg,TRUE,0,0,,['历史建筑'],
许驸马府,牌坊街/潮州古城/广济桥,距市中心2.9km,"[23.677101, 116.653519]",48,4.2,4.5,https://dimg04.c-ctrip.com/images/01A20120008mo5ideC36A.jpg,FALSE,0,0,,['历史建筑'],
凤凰天池,,距市中心32.7km,"[23.955344, 116.662514]",37,4.3,4.5,https://dimg04.c-ctrip.com/images/0104012000f6puwq594D3.jpg,FALSE,0,0,,['自然山水'],
潮州西湖,西湖公园,距市中心2.6km,"[23.676704, 116.650369]",216,4.4,4.5,https://dimg04.c-ctrip.com/images/0106v12000ev4fue735D1.jpg,TRUE,0,0,,['园林花园'],
潮州市博物馆,人民广场,距市中心497m,"[23.65907, 116.630956]",25,4.6,4.3,https://dimg04.c-ctrip.com/images/0105p12000f6u07we5778.jpg,TRUE,0,0,,"['博物馆', '场馆展馆']",
潮州绿太阳欢乐世界,,距市中心12.0km,"[23.688818, 116.514542]",169,4.2,4.1,https://dimg04.c-ctrip.com/images/1lo5c12000ceuh9tf3553.jpg,FALSE,78,0,,"['度假村', '遛娃宝藏地']",4A
西马路,牌坊街/潮州古城/广济桥,距市中心2.7km,"[23.670625, 116.65479]",2,5,3.8,https://dimg04.c-ctrip.com/images/1A0g180000014b5jvFD31.jpg,FALSE,0,0,,"['城市漫步','特产']",
淡浮院,,距市中心8.4km,"[23.683892, 116.707849]",102,4.3,3.8,https://dimg04.c-ctrip.com/images/350212000000taati0195.jpg,FALSE,40,40,,['园林花园'],4A
砚峰公园,,距市中心8.3km,"[23.678937, 116.708141]",1,4,3.8,https://dimg04.c-ctrip.com/images/0101l12000bkeiasp2D71.jpg,FALSE,0,0,,['园林花园'],
麒麟阁,东山湖/龙湖古寨,距市中心18.8km,"[23.497164, 116.594477]",21,3.9,3.8,https://dimg04.c-ctrip.com/images/100c1f000001gsw9o3EFF.jpg,FALSE,0,0,,['历史建筑'],
青龙古庙,人民广场,距市中心2.4km,"[23.657644, 116.651685]",23,4.6,3.8,https://dimg04.c-ctrip.com/images/0101e12000f6se7s6D470.jpg,TRUE,0,0,,['历史建筑'],
涵碧楼,西湖公园,距市中心2.5km,"[23.676649, 116.649361]",27,4.5,3.5,https://dimg04.c-ctrip.com/images/100q1f000001grkxk456E.jpg,TRUE,0,0,,['历史建筑'],
颐园,牌坊街/潮州古城/广济桥,距市中心3.0km,"[23.668498, 116.658128]",10,4,3.5,https://dimg04.c-ctrip.com/images/0104k120008ii0ms339E3.jpg,FALSE,0,0,,,
汛洲岛,饶平,距市中心43.2km,"[23.576493, 117.042531]",16,4.4,3.4,https://dimg04.c-ctrip.com/images/0102g1200085rquno423A.jpg,TRUE,0,0,,['岛屿漫步'],
己略黄公祠,牌坊街/潮州古城/广济桥,距市中心2.8km,"[23.671656, 116.654745]",38,4.3,3.4,https://dimg04.c-ctrip.com/images/0104512000f6tteh3891B.jpg,FALSE,0,0,,['历史建筑'],
滨江长廊,牌坊街/潮州古城/广济桥,距市中心3.1km,"[23.667843, 116.659164]",33,4.3,3.4,https://dimg04.c-ctrip.com/images/100n1f000001gpc9109B7.jpg,TRUE,0,0,,['徒步'],
道韵楼,饶平,距市中心41.0km,"[23.980092, 116.834147]",13,4.2,3.4,https://dimg04.c-ctrip.com/images/100g0z000000nhhh8B8C3.jpg,TRUE,0,0,,['历史建筑'],
韩江,,距市中心7.0km,"[23.605389, 116.654901]",64,4.4,3.4,https://dimg04.c-ctrip.com/images/100m1a0000019rmhfC99E.jpg,TRUE,0,0,,['自然山水'],
凤溪竹筏漂流,,距市中心17.7km,"[23.822004, 116.644746]",28,3.8,3.3,https://dimg04.c-ctrip.com/images/0100u12000f6t5jgb045B.jpg,FALSE,10,0,,"['遛娃宝藏地', '漂流']",
潮州直升机基地,牌坊街/潮州古城/广济桥,距市中心2.8km,"[23.661164, 116.655995]",16,4.6,3.2,https://dimg04.c-ctrip.com/images/0100g120009gknexi5657.jpg,FALSE,0,0,,['直升机体验'],
凤凰山,,距市中心29.1km,"[23.912412, 116.712747]",4,3,3.2,https://dimg04.c-ctrip.com/images/0103n12000f6pz6aq29F5.jpg,FALSE,0,0,,['登高爬山'],
凤凰洲公园,,距市中心3.0km,"[23.657388, 116.6581]",19,4.1,3.2,https://dimg04.c-ctrip.com/images/0100m120009d3jilw7124.jpg,FALSE,0,0,,['遛娃宝藏地'],
潮州绿岛旅游山庄,饶平,距市中心25.8km,"[23.703158, 116.878209]",84,3.3,3.2,https://dimg04.c-ctrip.com/images/100s1f000001gx5cc89DA.jpg,FALSE,18,0,,"['度假村', '遛娃宝藏地']",4A
北阁佛灯,牌坊街/潮州古城/广济桥,距市中心3.5km,"[23.680388, 116.657809]",23,4.1,3.2,https://dimg04.c-ctrip.com/images/01A44120008mc7if4792C.jpg,FALSE,0,0,,['历史建筑'],
甘露寺,东山湖/龙湖古寨,距市中心20.4km,"[23.480105, 116.621811]",16,4.3,3.1,https://dimg04.c-ctrip.com/images/0103612000f6qjyon13EF.jpg,FALSE,0,0,,['历史建筑'],
潮州古城墙,牌坊街/潮州古城/广济桥,距市中心3.1km,"[23.669831, 116.658902]",18,4.1,3.1,https://dimg04.c-ctrip.com/images/100b1f000001gspd96F8B.jpg,TRUE,0,0,,['历史建筑'],
慧如公园,,距市中心4.4km,"[23.65697, 116.671551]",19,3.8,3.1,https://dimg04.c-ctrip.com/images/0106a12000f6psplu137E.jpg,TRUE,0,0,,['遛娃宝藏地'],
凤翔峡原始生态旅游区,,距市中心20.7km,"[23.82874, 116.719474]",63,3.6,3.1,https://dimg04.c-ctrip.com/images/350p16000000zchc5BDBE.jpg,FALSE,40,0,,"['遛娃宝藏地', '自然山水']",
西澳岛,饶平,距市中心47.2km,"[23.571954, 117.081563]",7,4.1,3.1,https://dimg04.c-ctrip.com/images/0102d12000f6r0tga3C88.jpg,FALSE,0,0,,['岛屿漫步'],
紫莲森林度假村,,距市中心14.3km,"[23.728924, 116.749058]",199,4,3,https://dimg04.c-ctrip.com/images/100l1f000001gqgg4C54D.jpg,FALSE,0,0,,"['度假村', '遛娃宝藏地']",4A
四马拖车,东山湖/龙湖古寨,距市中心12.5km,"[23.554449, 116.660503]",0,0,3,https://dimg04.c-ctrip.com/images/0100k12000evujyrhB6FA.jpg,FALSE,0,0,,"['博物馆', '场馆展馆']",
韩愈纪念馆,韩文公祠/韩山师范学院,距市中心4.0km,"[23.670169, 116.667375]",10,4.5,3,https://dimg04.c-ctrip.com/images/0103c12000f6tbkaxF80A.jpg,TRUE,0,0,,"['博物馆', '场馆展馆','历史建筑']",
潮州凤凰单丛茶博物馆,,距市中心27.8km,"[23.903335, 116.701445]",4,4.3,3,https://dimg04.c-ctrip.com/images/0106o120008h77u3u762E.jpg,FALSE,0,0,,"['博物馆', '场馆展馆']",
饶平土楼南阳楼,饶平,距市中心68.8km,"[24.223768, 116.912262]",1,5,3,https://dimg04.c-ctrip.com/images/0103612000b0gc10v7713.jpg,FALSE,0,0,,['历史建筑'],
凤凰山乌岽顶,,距市中心33.5km,"[23.962658, 116.662921]",1,5,2.9,https://dimg04.c-ctrip.com/images/0104512000c6lsb8xF02C.jpg,FALSE,0,0,,['登高爬山'],
潮州镇海楼(旧府衙),牌坊街/潮州古城/广济桥,距市中心2.9km,"[23.673898, 116.655449]",0,0,2.8,https://dimg04.c-ctrip.com/images/0101m12000ew9o3h405DA.jpg,FALSE,0,0,,['历史建筑'],
凤凰塔,,距市中心3.8km,"[23.653532, 116.664984]",4,4.5,2.8,https://dimg04.c-ctrip.com/images/100u1900000163br66DEF.jpg,FALSE,0,0,,['历史建筑'],
潮府工夫茶文化博物馆,牌坊街/潮州古城/广济桥,距市中心2.8km,"[23.672338, 116.654389]",2,4.5,2.8,https://dimg04.c-ctrip.com/images/1mh6p12000b0tre3d3BFA.jpg,FALSE,0,0,,"['博物馆', '场馆展馆']",
海阳县儒学宫,牌坊街/潮州古城/广济桥,距市中心2.9km,"[23.674251, 116.654487]",17,4.2,2.7,https://dimg04.c-ctrip.com/images/100f1900000163cuv6C1B.jpg,FALSE,0,0,,['历史建筑'],
天后宫,牌坊街/潮州古城/广济桥,距市中心3.1km,"[23.669598, 116.658612]",2,5,2.7,https://dimg04.c-ctrip.com/images/100s190000016a7od69E6.jpg,FALSE,0,0,,['历史建筑'],
石壁山风景区,饶平,距市中心40.1km,"[23.693213, 117.020551]",19,4.4,2.7,https://dimg04.c-ctrip.com/images/0103p120008s7dnkhA7C1.jpg,FALSE,0,0,,"['历史建筑', '登高爬山']",
潮州凤翔峡龙腾谷漂流,,距市中心20.7km,"[23.82874, 116.719474]",2,4,2.7,https://dimg04.c-ctrip.com/images/1lo6d12000ebx4qeaB651.jpg,FALSE,0,0,,"['登高爬山','自然山水']",
潮州人民广场,人民广场,距市中心318m,"[23.660878, 116.630905]",73,4.5,2.6,https://dimg04.c-ctrip.com/images/100a1f000001grk6zC514.jpg,TRUE,0,0,,['地标观景'],
东沙湾浴场,饶平,距市中心40.6km,"[23.54668, 117.006373]",0,0,2.6,https://dimg04.c-ctrip.com/images/0102h120009oik47fEAD6.png,FALSE,0,0,,['海滨沙滩'],
乃兴石湖休闲避暑山庄,,距市中心28.1km,"[23.905578, 116.703488]",1,1,2.6,https://dimg04.c-ctrip.com/images/01A6a1200094e70qzE32D.jpg,FALSE,0,0,,['度假村'],
沙溪镇,东山湖/龙湖古寨,距市中心14.4km,"[23.537993, 116.593148]",0,0,2.6,https://dimg04.c-ctrip.com/images/01040120009zper5991CA.jpg,TRUE,0,0,,['地标观景'],
吉象主题乐园,,距市中心4.4km,"[23.656803, 116.671932]",0,0,2.6,https://dimg04.c-ctrip.com/images/0104312000c78cce15021.jpg,FALSE,20,0,,"['特色展馆', '场馆展馆']",
潮州美术馆,人民广场,距市中心1.3km,"[23.670903, 116.620197]",0,0,2.6,https://dimg04.c-ctrip.com/images/0106p120009zdql60390B.jpg,TRUE,0,0,,"['特色展馆', '场馆展馆']",
潮州市饶宗颐学术馆,牌坊街/潮州古城/广济桥,距市中心3.0km,"[23.66847, 116.658298]",18,4.7,2.6,https://dimg04.c-ctrip.com/images/100o0z000000nceedF4CD.jpg,FALSE,0,0,,['历史建筑'],
红山森林公园,,距市中心9.0km,"[23.679883, 116.715526]",6,1.8,2.6,https://dimg04.c-ctrip.com/images/0103412000a5vy51i6C2A.jpg,FALSE,0,0,,['自然山水'],
中国瓷都陈列馆,潮州站/潮州粤运中心客运站,距市中心1.7km,"[23.654415, 116.61483]",7,4.6,2.5,https://dimg04.c-ctrip.com/images/100v0z000000nvuf83AD1.jpg,FALSE,0,0,,['场馆展馆'],
蓝月湾水上乐园,饶平,距市中心39.6km,"[23.666268, 117.017695]",4,3.8,2.5,https://dimg04.c-ctrip.com/images/0104h12000as07s2kF9F1.jpg,FALSE,35,0,,['水乐园'],
潮州动物园,西湖公园,距市中心2.7km,"[23.679119, 116.649289]",5,3.6,2.5,https://dimg04.c-ctrip.com/images/100d1f000001gorn101FA.jpg,FALSE,0,0,,"['动物园','遛娃宝藏地']",
华夏历史博物馆,,距市中心9.3km,"[23.582429, 116.602416]",12,4,2.5,https://dimg04.c-ctrip.com/images/0103y120009zho37mC186.jpg,FALSE,0,0,,"['博物馆', '场馆展馆']",
潮州嵌瓷博物馆,东山湖/龙湖古寨,距市中心13.3km,"[23.54443, 116.609279]",0,0,2.5,https://dimg04.c-ctrip.com/images/01024120009zin3c16C9D.jpg,FALSE,0,0,,"['博物馆', '场馆展馆']",
